experiment_id,hypothesis,recorded_at,output_dir,n_rows,n_assets,n_dates,registered_factors,selected_factors,families,annual_return,annual_volatility,sharpe,sortino,max_drawdown,calmar,win_rate,periods,availability_violation_rate,avg_selected_quality,avg_turnover,quality_rows,decision,failed_gates,gate_selected_factors,gate_families,gate_periods,gate_sharpe,gate_sortino,gate_max_drawdown,gate_win_rate,gate_availability
demo_001_synthetic_factor_factory,synthetic pipeline should recover planted factor families and produce auditable outputs,2026-05-23T19:10:47.192254,Introduction-to-Quantitative-Finance\outputs\factor_factory_demo,5760.0,120.0,48.0,36.0,36.0,6.0,0.5611416281450798,0.0935951349457197,5.995414488910267,9.915870322773586,-0.0298954919393492,18.77010852617849,0.9375,48.0,0.0,0.4415150384655782,0.8040041371158393,36,promote_to_paper,,True,True,True,True,True,True,True,True
demo_002_low_cost_factor_builder_to_factory,low-cost factor builder outputs should connect to registry and factor factory runner,2026-05-23T19:17:22.281469,Introduction-to-Quantitative-Finance\outputs\low_cost_factor_factory_demo,25600.0,80.0,320.0,68.0,29.0,11.0,1.8037974242158,0.2897457107963793,6.225449961823354,12.68714294754126,-0.1121649714237682,16.081646536519045,0.3191489361702128,47.0,0.0,0.0135677157019095,0.5449562506285829,33,revise_and_rerun,win_rate,True,True,True,True,True,True,False,True
demo_003_low_cost_clean_warning_free,low-cost factor builder and factory runner should execute without noisy correlation warnings,2026-05-23T19:19:22.733357,Introduction-to-Quantitative-Finance\outputs\low_cost_factor_factory_demo_rerun2,25600.0,80.0,320.0,68.0,29.0,11.0,1.8037974242158,0.2897457107963793,6.225449961823354,12.68714294754126,-0.1121649714237682,16.081646536519045,0.3191489361702128,47.0,0.0,0.0135677157019095,0.5449562506285829,33,revise_and_rerun,win_rate,True,True,True,True,True,True,False,True
demo_004_walk_forward_costed_factory,walk-forward factor selection should produce costed out-of-sample portfolio returns,2026-05-23T20:42:03.573812,Introduction-to-Quantitative-Finance\outputs\walk_forward_factor_factory_demo,25200.0,140.0,180.0,36.0,36.0,6.0,0.4261381944844662,0.0909317058535146,4.686354341256379,9.958499206892574,-0.0398438937815118,10.69519452143004,0.8888888888888888,108.0,0.0,0.5358880028335433,,324,promote_to_paper,,True,True,True,True,True,True,True,True
quant_model_system_demo,one-command quant model system demo should run low-cost factors through walk-forward governance,2026-05-23T20:44:19.539782,Introduction-to-Quantitative-Finance\outputs\quant_model_system_demo\walk_forward,25600.0,80.0,320.0,68.0,27.8,10.7,3.535014568459037,0.2940711311749613,12.020950694258511,24.489040611164565,-0.2238598531068065,15.791194890011983,0.56,200.0,0.0,0.0041366269548665,,320,promote_to_paper,,True,True,True,True,True,True,True,True
demo_005_walk_forward_execution_constraints,walk-forward system should support tradeability and capacity constraint hooks,2026-05-23T20:47:20.837382,Introduction-to-Quantitative-Finance\outputs\walk_forward_execution_constraints_demo,25200.0,140.0,180.0,36.0,36.0,6.0,0.4261381944844662,0.0909317058535146,4.686354341256379,9.958499206892574,-0.0398438937815118,10.69519452143004,0.8888888888888888,108.0,0.0,0.5358880028335433,,324,promote_to_paper,,True,True,True,True,True,True,True,True
quant_model_system_demo_v2,one-command quant model system demo should run low-cost factors through walk-forward governance,2026-05-23T20:49:35.314641,Introduction-to-Quantitative-Finance\outputs\quant_model_system_demo_v2\walk_forward,25600.0,80.0,320.0,68.0,27.8,10.7,3.5350145684590384,0.2940711311749614,12.020950694258511,24.48904061116457,-0.2238598531068065,15.79119489001199,0.56,200.0,0.0,0.0041366269548665,,320,promote_to_paper,,True,True,True,True,True,True,True,True
quant_model_system_smoke_test,one-command quant model system demo should run low-cost factors through walk-forward governance,2026-05-23T20:59:08.891607,Introduction-to-Quantitative-Finance\outputs\quant_model_system_smoke_test\walk_forward,25600.0,80.0,320.0,68.0,27.8,10.7,3.5350145684590384,0.2940711311749614,12.020950694258511,24.48904061116457,-0.2238598531068065,15.79119489001199,0.56,200.0,0.0,0.0041366269548665,,320,promote_to_paper,,True,True,True,True,True,True,True,True
quant_model_system_smoke_test,one-command quant model system demo should run low-cost factors through walk-forward governance,2026-05-23T21:04:01.776196,Introduction-to-Quantitative-Finance\outputs\quant_model_system_smoke_test\walk_forward,25600.0,80.0,320.0,68.0,27.8,10.7,3.5350145684590384,0.2940711311749614,12.020950694258511,24.48904061116457,-0.2238598531068065,15.79119489001199,0.56,200.0,0.0,0.0041366269548665,,320,promote_to_paper,,True,True,True,True,True,True,True,True
quant_model_system_smoke_test,one-command quant model system demo should run low-cost factors through walk-forward governance,2026-05-23T21:07:20.536827,Introduction-to-Quantitative-Finance\outputs\quant_model_system_smoke_test\walk_forward,25600.0,80.0,320.0,68.0,27.8,10.7,3.5350145684590384,0.2940711311749614,12.020950694258511,24.48904061116457,-0.2238598531068065,15.79119489001199,0.56,200.0,0.0,0.0041366269548665,,320,promote_to_paper,,True,True,True,True,True,True,True,True
quant_model_system_smoke_test,one-command quant model system demo should run low-cost factors through walk-forward governance,2026-05-23T21:10:16.257645,Introduction-to-Quantitative-Finance\outputs\quant_model_system_smoke_test\walk_forward,25600.0,80.0,320.0,68.0,27.8,10.7,3.5350145684590384,0.2940711311749614,12.020950694258511,24.48904061116457,-0.2238598531068065,15.79119489001199,0.56,200.0,0.0,0.0041366269548665,,320,promote_to_paper,,True,True,True,True,True,True,True,True
quant_model_system_smoke_test,one-command quant model system demo should run low-cost factors through walk-forward governance,2026-05-23T21:36:42.277417,Introduction-to-Quantitative-Finance\outputs\quant_model_system_smoke_test\walk_forward,25600.0,80.0,320.0,68.0,27.8,10.7,3.5350145684590384,0.2940711311749614,12.020950694258511,24.48904061116457,-0.2238598531068065,15.79119489001199,0.56,200.0,0.0,0.0041366269548665,,320,promote_to_paper,,True,True,True,True,True,True,True,True
quant_model_system_smoke_test,one-command quant model system demo should run low-cost factors through walk-forward governance,2026-05-23T21:39:17.240763,Introduction-to-Quantitative-Finance\outputs\quant_model_system_smoke_test\walk_forward,25600.0,80.0,320.0,68.0,27.8,10.7,3.5350145684590384,0.2940711311749614,12.020950694258511,24.48904061116457,-0.2238598531068065,15.79119489001199,0.56,200.0,0.0,0.0041366269548665,,320,promote_to_paper,,True,True,True,True,True,True,True,True
quant_model_system_smoke_test,one-command quant model system demo should run low-cost factors through walk-forward governance,2026-07-17T19:12:09.221746,Introduction-to-Quantitative-Finance\outputs\quant_model_system_smoke_test\walk_forward,25600.0,80.0,320.0,68.0,27.8,10.7,3.5350145684590384,0.2940711311749614,12.020950694258511,24.48904061116457,-0.2238598531068065,15.79119489001199,0.56,200.0,0.0,0.0041366269548665,,320,promote_to_paper,,True,True,True,True,True,True,True,True
quant_model_system_smoke_test,one-command quant model system demo should run low-cost factors through walk-forward governance,2026-07-18T00:19:37.464716,Introduction-to-Quantitative-Finance\outputs\quant_model_system_smoke_test\walk_forward,25600.0,80.0,320.0,68.0,27.8,10.7,3.5350145684590384,0.2940711311749614,12.020950694258511,24.48904061116457,-0.2238598531068065,15.79119489001199,0.56,200.0,0.0,0.004136626954866535,,320,promote_to_paper,,True,True,True,True,True,True,True,True
